Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
12:36.8,307,340,510,671,280,2.65,376.85,1.37,120.17,282,777,116.63,776,13602,78705,6237,1.03,-0.03,0.05,-1.01,3.36,-3.21,-2.21,-84.98,-5.31,-2.82,-2.43,-5.18,-6.11,Standing
12:36.9,280,338,507,671,281,2.64,378.71,1.37,120.17,282,775,116.63,776,13602,89506,7012,1.01,-0.03,0.06,-0.92,1.42,-3.53,-2.37,-84.69,-5.34,-2.88,-2.7,-5.22,-6.15,Standing
12:37.0,358,338,507,671,281,2.64,378.71,1.37,115.38,280,774,99.37,778,9874,0,0,1.01,-0.02,0.06,-1.48,0.34,-3.32,-1.6,-84.61,-5.43,-3.05,-2.95,-5.28,-6.31,Standing
12:37.1,354,339,508.5,671,281,2.64,378.71,1.37,115.38,280,781,99.37,778,9874,20137,781,0.99,-0.01,0.06,-1.02,3.35,-1.36,-1.02,-85.05,-5.48,-2.91,-3,-5.3,-6.2,Standing
12:37.2,397,341,511.5,671,281,2.64,378.71,1.37,115.38,280,780,99.37,778,9874,38713,1561,1,-0.01,0.06,-1.45,1.41,0.1,-1.12,-85.05,-5.57,-2.97,-2.92,-5.39,-6.25,Standing
12:37.3,381,342,513,671,282,2.63,380.57,1.38,115.38,280,778,99.37,778,9874,54173,2339,1.03,-0.03,0.07,-1.63,-0.04,-1.05,-2.14,-84.42,-5.67,-3.17,-2.94,-5.53,-6.42,Standing
12:37.4,385,343,514.5,671,282,2.63,380.57,1.38,115.38,280,773,99.37,778,9874,61878,3112,1.02,-0.03,0.06,-2.47,1.37,-1,-2.03,-84.6,-5.87,-3.24,-2.96,-5.71,-6.49,Standing
12:37.5,346,343,514.5,671,282,2.63,380.57,1.38,115.38,280,788,99.37,778,9874,92998,3900,1.01,-0.01,0.05,-2.25,1.53,-2.73,-1.23,-85.77,-6.03,-3.28,-3.16,-5.84,-6.58,Standing
12:37.6,353,344,516,671,282,2.63,380.57,1.38,115.38,280,776,99.37,778,9874,105350,4676,1.01,-0.02,0.06,-0.73,1.02,-0.37,-1.49,-85.04,-6.05,-3.38,-3.11,-5.87,-6.65,Standing
12:37.7,388,345,517.5,671,282,2.63,380.57,1.38,115.38,280,775,99.37,778,9874,116151,5451,1,-0.02,0.06,-1.79,1.2,0.05,-1.68,-85.03,-6.17,-3.46,-3.03,-5.99,-6.73,Standing
12:37.8,416,347,520.5,671,281,2.64,378.71,1.37,115.38,280,779,99.37,778,9874,133168,6230,1.01,-0.02,0.06,-2.85,1.24,-0.08,-1.74,-85.06,-6.4,-3.54,-2.96,-6.21,-6.8,Standing
12:37.9,418,349,523.5,671,280,2.65,376.85,1.37,115.38,280,774,99.37,778,9874,142420,7004,1.02,-0.03,0.04,-4.08,1.09,-1.59,-2.1,-85.63,-6.75,-3.63,-3.04,-6.57,-6.91,Standing
12:38.0,386,349,523.5,671,280,2.65,376.85,1.37,116.59,281,775,123.78,777,15321,0,0,1.02,-0.02,0.05,-3.69,1.99,-2.95,-1.95,-85.37,-7.06,-3.63,-3.25,-6.86,-6.9,Standing
12:38.1,317,349,523.5,671,280,2.65,376.85,1.37,116.59,281,778,123.78,777,15321,15460,778,1.01,-0.03,0.08,-3.16,1.75,-1.4,-2.28,-83.71,-7.32,-3.66,-3.31,-7.12,-6.86,Standing
12:38.2,382,349,523.5,671,279,2.67,375,1.36,116.59,281,780,123.78,777,15321,34036,1558,1.01,-0.02,0.06,-4.37,1.12,-0.96,-1.51,-84.82,-7.7,-3.74,-3.33,-7.46,-6.99,Standing
12:38.3,401,351,526.5,671,278,2.68,373.15,1.36,116.59,281,778,123.78,777,15321,49496,2336,1.02,-0.02,0.07,-2.11,0.34,0.45,-1.58,-84.43,-7.86,-3.91,-3.21,-7.61,-7.13,Standing
12:38.4,387,352,528,671,279,2.67,375,1.36,116.59,281,778,123.78,777,15321,64956,3114,1.02,-0.02,0.06,-3.63,0.55,-0.68,-1.95,-84.8,-8.16,-4.05,-3.2,-7.91,-7.28,Standing
12:38.5,383,352,528,671,278,2.68,373.15,1.36,116.59,281,774,123.78,777,15321,74208,3888,1.02,-0.03,0.07,-0.53,1.07,-0.13,-2.17,-84.06,-8.16,-4.15,-3.13,-7.92,-7.34,Standing
12:38.6,735,361,541.5,735,279,2.67,375,1.36,116.59,281,779,123.78,777,15321,91225,4667,1,-0.04,0.06,0.5,-1,0.3,-2.6,-84.58,-8.05,-4.44,-3.02,-7.83,-7.65,Standing
12:38.7,387,361,541.5,735,278,2.68,373.15,1.36,116.59,281,775,123.78,777,15321,102026,5442,0.98,-0.02,0.06,0.57,3.04,2.6,-1.55,-85.04,-7.94,-4.34,-2.68,-7.68,-7.57,Standing
12:38.8,409,362,543,735,279,2.67,375,1.36,116.59,281,778,123.78,777,15321,117486,6220,1,-0.02,0.06,4.98,5.68,4.16,-1.89,-84.74,-7.38,-3.97,-2.19,-7.16,-7.2,Standing
12:38.9,410,363,544.5,735,279,2.67,375,1.36,116.59,281,773,123.78,777,15321,125191,6993,1.02,-0.05,0.06,1.97,-1.66,5.56,-3.39,-83.95,-7.13,-4.33,-1.56,-6.98,-7.52,Standing
12:39.0,456,365,547.5,735,279,2.67,375,1.36,110.42,278,777,117.94,777,13908,0,0,1.02,-0.07,0.06,2.58,0.95,3.15,-4.41,-83.42,-6.83,-4.44,-1.17,-6.73,-7.6,Standing
12:39.1,376,365,547.5,735,279,2.67,375,1.36,110.42,278,778,117.94,777,13908,15460,778,1.02,-0.05,0.11,4.73,0.73,1.79,-3.36,-81.87,-6.3,-4.57,-0.92,-6.18,-7.66,Standing
