Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
51:03.2,425,597,895.5,981,362,1.83,547.66,1.77,36.76,363,121,121,121,14640,0,0,1.02,-0.13,-0.04,-1.92,0.56,-1.39,-7.89,-80.7,-2.79,-1.97,-0.64,-3,-5.11,Standing
51:03.3,423,588,882,981,363,1.82,550,1.77,36.76,363,121,121,121,14640,14641,121,1.02,-0.13,-0.04,-1.79,0.4,-1.15,-7.76,-80.87,-2.92,-2.12,-0.67,-3.11,-5.27,Standing
51:03.4,400,579,868.5,981,362,1.83,547.66,1.77,36.76,363,121,121,121,14640,29282,242,1.02,-0.12,-0.04,-1.99,1.18,-1.07,-7.52,-81.05,-3.06,-2.21,-0.7,-3.24,-5.36,Standing
51:03.5,401,571,856.5,981,363,1.82,550,1.77,36.76,363,121,121,121,14640,43923,363,1.02,-0.12,-0.05,-2.04,-0.01,-1.21,-7.19,-81.21,-3.21,-2.41,-0.74,-3.36,-5.56,Standing
51:03.6,440,565,847.5,981,362,1.83,547.66,1.77,36.76,363,121,121,121,14640,58564,484,1.01,-0.12,-0.05,-2.01,0.92,-0.97,-7.08,-81.41,-3.35,-2.51,-0.76,-3.5,-5.67,Standing
51:03.7,427,560,840,981,362,1.83,547.66,1.77,36.76,363,121,121,121,14640,73205,605,1.02,-0.12,-0.05,-2.03,0.76,-1.2,-7.5,-81.04,-3.5,-2.64,-0.8,-3.66,-5.77,Standing
51:03.8,461,556,834,981,362,1.83,547.66,1.77,36.76,363,121,121,121,14640,87846,726,1.02,-0.12,-0.05,-1.83,1.5,-1.41,-7.44,-81.01,-3.62,-2.69,-0.86,-3.78,-5.82,Standing
51:03.9,512,554,831,981,362,1.83,547.66,1.77,36.76,363,121,121,121,14640,102487,847,1.01,-0.13,-0.05,-1.88,0.49,-1.44,-7.68,-80.86,-3.75,-2.84,-0.93,-3.91,-5.96,Standing
51:04.0,458,550,825,981,362,1.83,547.66,1.77,36.76,363,121,121,121,14640,117128,968,1.02,-0.12,-0.05,-1.79,0.72,-1.17,-7.3,-81.17,-3.88,-2.97,-0.97,-4.01,-6.09,Standing
51:04.1,448,547,820.5,981,362,1.83,547.66,1.77,36.76,363,121,121,121,14640,131769,1089,1.01,-0.12,-0.06,-1.95,2.06,-1.08,-7.36,-80.95,-4.02,-2.96,-1,-4.15,-6.08,Standing
51:04.2,465,544,816,981,362,1.83,547.66,1.77,10.82,362,121,121,121,14640,0,0,1.01,-0.12,-0.04,-1.76,1.2,-0.97,-7.43,-81.15,-4.13,-3.04,-1.01,-4.27,-6.16,Standing
51:04.3,604,546,819,981,363,1.82,550,1.77,10.82,362,121,121,121,14640,14641,121,1.01,-0.13,-0.06,-2.12,0.56,-0.93,-7.67,-80.6,-4.29,-3.18,-1.03,-4.42,-6.28,Standing
51:04.4,364,540,810,981,364,1.81,552.35,1.78,10.82,362,121,121,121,14640,29282,242,1.01,-0.13,-0.04,-1.88,1.72,-1.31,-7.89,-80.72,-4.42,-3.21,-1.08,-4.56,-6.31,Standing
51:04.5,461,538,807,981,363,1.82,550,1.77,10.82,362,121,121,121,14640,43923,363,1.01,-0.12,-0.04,-2.01,1.2,-1.32,-7.27,-81.29,-4.57,-3.29,-1.13,-4.67,-6.41,Standing
51:04.6,532,537,805.5,981,363,1.82,550,1.77,10.82,362,121,121,121,14640,58564,484,1.01,-0.13,-0.05,-1.91,0.63,-1.18,-7.83,-80.73,-4.7,-3.43,-1.17,-4.83,-6.52,Standing
51:04.7,524,537,805.5,981,364,1.81,552.35,1.78,10.82,362,121,121,121,14640,73205,605,1.01,-0.12,-0.05,-2.17,0.82,-1.1,-7.5,-80.87,-4.86,-3.54,-1.2,-4.96,-6.64,Standing
51:04.8,550,537,805.5,981,364,1.81,552.35,1.78,10.82,362,120,121,121,14640,87605,725,1.01,-0.12,-0.04,-1.9,1.49,-1.15,-7.56,-81.1,-4.99,-3.59,-1.24,-5.1,-6.69,Standing
51:04.9,539,537,805.5,981,364,1.81,552.35,1.78,10.82,362,121,121,121,14640,102246,846,1.02,-0.12,-0.05,-1.63,1.53,-1.09,-7.42,-81.1,-5.1,-3.64,-1.27,-5.19,-6.74,Standing
51:05.0,628,540,810,981,365,1.8,554.71,1.78,10.82,362,121,121,121,14640,116887,967,1.01,-0.12,-0.04,-1.92,0.93,-1.26,-7.36,-81.26,-5.23,-3.75,-1.32,-5.32,-6.85,Standing
51:05.1,664,543,814.5,981,365,1.8,554.71,1.78,10.82,362,122,121,121,14640,131771,1089,1.02,-0.12,-0.04,-2.06,0.76,-1.27,-7.52,-81.1,-5.39,-3.87,-1.36,-5.47,-6.96,Standing
51:05.2,712,547,820.5,981,365,1.8,554.71,1.78,37.74,364,122,121.1,121,14664,0,0,1.02,-0.13,-0.04,-1.85,1.12,-1.01,-7.62,-80.96,-5.51,-3.96,-1.38,-5.6,-7.04,Standing
51:05.3,691,551,826.5,981,366,1.8,557.08,1.79,37.74,364,122,121.1,121,14664,14884,122,1.01,-0.12,-0.04,-2.02,0.85,-1.08,-7.51,-81.1,-5.66,-4.07,-1.41,-5.73,-7.15,Standing
51:05.4,664,554,831,981,365,1.8,554.71,1.78,37.74,364,122,121.1,121,14664,29768,244,1.01,-0.12,-0.05,-1.92,0.27,-1.03,-7.56,-80.9,-5.79,-4.25,-1.44,-5.86,-7.31,Standing
