Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features,
11:14.5,492,480,720,641,444,1.3,766.84,2.17,20724.3,443,185,20723.54,184,429465056,4294747024,1292,1.01,0.02,0.1,-2.98,1.18,-1.34,0.34,-82.69,-3.7,-4.25,-3.21,-3.54,-7.39,Standing,
11:14.6,481,480,720,641,443,1.31,763.79,2.17,20724.3,443,185,20723.54,184,429465056,4294715713,1477,1,0.01,0.1,-1.73,1.21,0.95,0.17,-82.67,-3.82,-4.33,-3.04,-3.66,-7.46,Standing,
11:14.7,456,480,720,641,443,1.31,763.79,2.17,20724.3,443,181,20723.54,184,429465056,4294748474,1658,1.02,0.02,0.09,-1.4,3.12,-2.24,0.79,-83.05,-3.9,-4.22,-3.18,-3.72,-7.37,Standing,
11:14.8,447,478,717,641,443,1.31,763.79,2.17,20724.3,443,184,20723.7,184,429471680,0,0,1.01,0.02,0.08,-1.69,2.25,-1.34,0.56,-83.77,-4.02,-4.19,-3.24,-3.83,-7.37,Standing,
11:14.9,453,478,717,641,443,1.31,763.79,2.17,20724.3,443,181,20723.7,184,429471680,32761,181,0.99,0.01,0.08,-3.03,0.56,1.21,0.04,-83.97,-4.26,-4.33,-3.04,-4.09,-7.52,Standing,
11:15.0,476,477,715.5,641,443,1.31,763.79,2.17,20724.3,443,184,20723.7,184,429471680,1081,365,1,0.02,0.08,-1.72,1.6,-1.53,0.75,-83.57,-4.38,-4.37,-3.11,-4.17,-7.54,Standing,
11:15.1,491,478,717,641,444,1.3,766.84,2.17,20724.3,443,181,20723.7,184,429471680,33842,546,0.99,0.01,0.07,-3.66,0.21,-1.85,0.08,-84.55,-4.7,-4.56,-3.22,-4.5,-7.76,Standing,
11:15.2,522,479,718.5,641,443,1.31,763.79,2.17,20724.3,443,181,20723.7,184,429471680,66603,727,1.02,0.01,0.08,-1.92,4.44,-0.67,0.08,-83.66,-4.83,-4.31,-3.21,-4.63,-7.49,Standing,
11:15.3,410,477,715.5,641,444,1.3,766.84,2.17,20724.3,443,180,20723.7,184,429471680,99003,907,1.01,0.01,0.08,-1.26,2.71,0.75,-0.18,-84.03,-4.9,-4.24,-3.05,-4.71,-7.43,Standing,
11:15.4,442,476,714,641,443,1.31,763.79,2.17,20724.3,443,180,20723.7,184,429471680,131403,1087,1,0.02,0.08,-2.38,1.51,0.55,0.41,-83.92,-5.09,-4.29,-2.92,-4.87,-7.48,Standing,
11:15.5,458,476,714,641,444,1.3,766.84,2.17,20724.3,443,180,20723.7,184,429471680,163803,1267,0.99,0.01,0.09,-0.28,3.41,-0.44,0.04,-83.27,-5.06,-4.15,-2.88,-4.85,-7.31,Standing,
11:15.6,490,476,714,641,444,1.3,766.84,2.17,20724.3,443,179,20723.7,184,429471680,195844,1446,1,0.02,0.08,-2.09,1.05,-0.79,0.45,-83.62,-5.21,-4.25,-2.88,-4.99,-7.42,Standing,
11:15.7,458,476,714,641,443,1.31,763.79,2.17,20724.3,443,183,20723.7,184,429471680,163797,1629,1,0.01,0.1,0.65,2.48,-0.2,-0.26,-82.67,-5.09,-4.2,-2.82,-4.9,-7.34,Standing,
11:15.9,406,474,711,641,443,1.31,763.79,2.17,20724.3,443,182,114.62,181,13137,0,0,1,0.01,0.09,-3.28,0.07,-1.98,0.06,-83.13,-5.36,-4.39,-2.94,-5.14,-7.54,Standing,
11:16.0,354,471,706.5,641,443,1.31,763.79,2.17,20724.3,443,179,114.62,181,13137,32041,179,1,0.01,0.09,-0.29,1.89,-0.72,0.24,-82.95,-5.33,-4.4,-2.93,-5.11,-7.54,Standing,
11:16.0,346,468,702,641,443,1.31,763.79,2.17,20724.3,443,179,114.62,181,13137,64082,358,1,0.01,0.11,-1.49,2.76,-1.98,0.23,-82.19,-5.42,-4.32,-3.05,-5.2,-7.44,Standing,
11:16.1,340,465,697.5,641,444,1.3,766.84,2.17,20724.3,443,179,114.62,181,13137,96123,537,1,0.01,0.09,-2.21,0.54,-1.89,-0.02,-83.49,-5.59,-4.47,-3.16,-5.37,-7.63,Standing,
11:16.2,331,461,691.5,641,443,1.31,763.79,2.17,20724.3,443,182,114.62,181,13137,63711,719,1.01,0.02,0.1,-3.27,1.45,-1.29,0.33,-82.87,-5.86,-4.52,-3.21,-5.61,-7.66,Standing,
11:16.3,342,459,688.5,641,443,1.31,763.79,2.17,20724.3,443,178,114.62,181,13137,95395,897,1.01,0.01,0.09,-1.27,4.53,0.1,0.18,-83.14,-5.93,-4.27,-3.12,-5.68,-7.42,Standing,
11:16.4,299,455,682.5,641,444,1.3,766.84,2.17,20724.3,443,179,114.62,181,13137,127436,1076,1,0,0.1,-2.31,0.31,-1.12,-0.37,-82.86,-6.1,-4.44,-3.16,-5.87,-7.58,Standing,
11:16.6,326,452,678,641,443,1.31,763.79,2.17,20724.3,443,178,114.62,181,13137,159120,1254,1.01,0.02,0.1,-1.5,1.82,-1.59,0.59,-82.61,-6.2,-4.46,-3.24,-5.92,-7.58,Standing,
11:16.6,401,451,676.5,641,443,1.31,763.79,2.17,20724.3,443,178,114.62,181,13137,190804,1432,1,0.02,0.1,-2.22,-0.06,-0.69,0.35,-82.84,-6.36,-4.66,-3.23,-6.09,-7.79,Standing,
11:16.7,516,453,679.5,641,443,1.31,763.79,2.17,20724.3,443,177,114.62,181,13137,222133,1609,1.01,0.01,0.1,-3.15,1.13,-1.24,0,-82.47,-6.62,-4.75,-3.27,-6.36,-7.86,Standing,
11:16.8,542,454,681,641,443,1.31,763.79,2.17,20724.3,443,177,159.2,178,25345,0,0,1.02,0.02,0.1,-2.58,1.11,-1.92,0.57,-82.5,-6.82,-4.83,-3.38,-6.52,-7.94,Standing,
11:16.9,612,458,687,641,443,1.31,763.79,2.17,20724.3,443,177,159.2,178,25345,31329,177,1,0.02,0.09,-2.48,-0.4,-0.05,0.49,-83.08,-7.01,-5.08,-3.31,-6.71,-8.2,Standing,
11:17.0,575,460,690,641,443,1.31,763.79,2.17,20724.3,443,178,159.2,178,25345,63013,355,1,0.02,0.1,-2.6,1.37,-1.47,0.67,-82.72,-7.21,-5.14,-3.38,-6.9,-8.24,Standing,
11:17.1,592,462,693,641,443,1.31,763.79,2.17,20724.3,443,177,159.2,178,25345,94342,532,1.02,0.02,0.1,-3.6,-0.13,-2.08,0.48,-82.45,-7.52,-5.35,-3.51,-7.2,-8.43,Standing,
