Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
03:07.9,530,530,795,530,352,1.91,524.59,1.72,0,0,198,0,0,0,4294915428,398,0.99,-0.04,0.11,-7.67,-7.08,-4.45,-2.88,-81.46,-0.58,-1.27,-0.88,-0.67,-4.48,Standing
03:08.0,413,471,706.5,530,352,1.91,524.59,1.72,0,0,199,0,0,0,4294889493,597,1,-0.02,0.11,5.59,7.53,-4.86,-1.85,-81.85,0.18,-0.58,-1.39,0.1,-3.83,Standing
03:08.1,452,465,697.5,530,352,1.91,524.59,1.72,0,0,199,0,0,0,4294863558,796,1.01,0,0.14,-8.02,-3.94,-0.89,-0.61,-80.36,-0.74,-1.31,-1.4,-0.73,-4.47,Standing
03:08.3,570,491,736.5,570,351,1.91,522.32,1.72,0,0,200,0,0,0,4294838022,996,1,-0.01,0.15,-4.76,0.19,-3.34,-1.04,-79.85,-1.26,-1.54,-1.72,-1.25,-4.67,Standing
03:08.4,668,526,789,668,351,1.91,522.32,1.72,0,0,202,0,0,0,4294813290,1198,1,-0.02,0.16,-3.53,1.27,-2.02,-1.58,-79.42,-1.62,-1.63,-1.87,-1.62,-4.74,Standing
03:08.5,524,526,789,668,352,1.91,524.59,1.72,0,0,201,0,0,0,4294788155,1399,0.99,-0.02,0.19,-3.44,2.42,-1.63,-1.75,-77.39,-1.98,-1.57,-1.97,-1.97,-4.61,Standing
03:08.6,451,515,772.5,668,351,1.91,522.32,1.72,0,0,201,0,0,0,4294763020,1600,0.97,-0.02,0.17,-2.66,-2.21,-2.34,-1.8,-78.22,-2.24,-2.1,-2.16,-2.22,-5.14,Standing
03:08.8,431,504,756,668,351,1.91,522.32,1.72,0,0,201,0,0,0,4294737885,1801,0.98,-0.01,0.16,-3.53,0.27,-0.56,-0.97,-79.09,-2.61,-2.31,-2.13,-2.54,-5.38,Standing
03:08.9,516,506,759,668,351,1.91,522.32,1.72,20724.12,351,201,20723.69,200,429471264,0,0,1,-0.01,0.16,3.98,3.89,-0.18,-0.9,-79.38,-2.04,-2.07,-2.06,-1.99,-5.16,Standing
03:09.0,639,519,778.5,668,351,1.91,522.32,1.72,20724.12,351,203,20723.69,200,429471264,4294942969,203,1.01,0,0.14,1.31,-1.53,-1.02,-0.62,-80.46,-1.8,-2.52,-2.09,-1.76,-5.63,Standing
