Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
40:22.5,835,630,945,1000,349,1.93,517.8,1.71,20724.12,351,203,20723.72,202,429472320,4294875327,825,1.02,-0.04,-0.03,-1.21,1.29,-2.41,-2.78,-85.74,-4.41,-4.24,-1.06,-4.34,-7.5,Standing
40:22.6,495,626,939,1000,349,1.93,517.8,1.71,20724.12,351,204,20723.72,202,429472320,4294851407,1029,1,-0.03,-0.03,-1.73,1.31,-0.15,-2.19,-86.23,-4.53,-4.31,-0.99,-4.43,-7.59,Standing
40:22.7,743,630,945,1000,349,1.93,517.8,1.71,20724.12,351,204,20723.72,202,429472320,4294827487,1233,1.01,-0.06,-0.04,-2.57,3.64,3.79,-3.8,-84.4,-4.73,-4.15,-0.53,-4.69,-7.36,Standing
40:22.8,700,632,948,1000,349,1.93,517.8,1.71,20724.12,351,204,20723.72,202,429472320,4294803567,1437,1.04,-0.07,-0.02,-2.06,3.98,-1.34,-4.15,-84.72,-4.88,-3.95,-0.58,-4.85,-7.18,Standing
40:23.0,508,628,942,1000,349,1.93,517.8,1.71,20724.12,351,200,20723.72,202,429472320,4294778031,1637,1.04,-0.04,0,-5.24,-2.37,-6.65,-2.95,-86.05,-5.36,-4.4,-1.19,-5.27,-7.66,Standing
40:23.1,390,622,933,1000,349,1.93,517.8,1.71,20724.12,351,201,20723.72,202,429472320,4294752896,1838,1,-0.03,-0.02,-2.5,-0.11,-7.05,-2.36,-86.22,-5.56,-4.61,-1.82,-5.44,-7.88,Standing
40:23.2,416,617,925.5,1000,349,1.93,517.8,1.71,20724.08,348,202,20723.73,204,429472800,0,0,0.98,-0.02,-0.01,-1.63,-1.52,0.89,-1.84,-87.02,-5.67,-4.96,-1.66,-5.52,-8.25,Standing
40:23.3,593,616,924,1000,349,1.93,517.8,1.71,20724.08,348,204,20723.73,204,429472800,4294943376,204,1.01,-0.04,-0.03,-0.74,-0.79,4.97,-2.74,-85.7,-5.69,-5.25,-1.06,-5.57,-8.47,Standing
40:23.4,819,621,931.5,1000,349,1.93,517.8,1.71,20724.08,348,198,20723.73,204,429472800,4294917044,402,1.04,-0.06,-0.03,-0.84,1.34,-0.71,-3.79,-84.73,-5.72,-5.32,-1.06,-5.64,-8.5,Standing
40:23.5,788,625,937.5,1000,349,1.93,517.8,1.71,20724.08,348,195,20723.73,204,429472800,4294889533,597,1.02,-0.05,-0.04,-2.81,1.02,-3.3,-3.27,-85.02,-5.95,-5.42,-1.31,-5.84,-8.6,Standing
40:23.6,516,622,933,1000,349,1.93,517.8,1.71,20724.08,348,194,20723.73,204,429472800,4294861633,791,1.01,-0.04,-0.03,-2.73,2.24,-2.23,-2.58,-85.89,-6.17,-5.4,-1.46,-6.02,-8.62,Standing
40:23.7,482,619,928.5,1000,350,1.92,520.06,1.71,20724.08,348,203,20723.73,204,429472800,4294837306,994,1.02,-0.04,-0.03,-2.44,1.27,-0.87,-2.77,-85.7,-6.36,-5.47,-1.47,-6.22,-8.68,Standing
40:23.8,525,617,925.5,1000,349,1.93,517.8,1.71,20724.08,348,201,20723.73,204,429472800,4294812171,1195,1.01,-0.04,-0.02,-1.51,-0.37,-0.7,-2.8,-85.99,-6.46,-5.72,-1.46,-6.31,-8.93,Standing
40:23.9,533,615,922.5,1000,349,1.93,517.8,1.71,20724.08,348,206,20723.73,204,429472800,4294789071,1401,1.02,-0.05,-0.02,-1.9,-0.34,0.29,-3.15,-85.63,-6.59,-5.96,-1.35,-6.46,-9.14,Standing
40:24.0,529,613,919.5,1000,349,1.93,517.8,1.71,20724.08,348,207,20723.73,204,429472800,4294766384,1608,1.03,-0.05,-0.03,-1.32,-0.05,-2.79,-3.15,-85.2,-6.67,-6.17,-1.55,-6.53,-9.33,Standing
40:24.1,595,613,919.5,1000,349,1.93,517.8,1.71,20724.08,348,209,20723.73,204,429472800,4294744529,1817,1.01,-0.04,-0.04,-0.67,0.31,-3.11,-2.71,-85.4,-6.68,-6.34,-1.79,-6.53,-9.5,Standing
40:24.2,595,613,919.5,1000,349,1.93,517.8,1.71,20724.08,349,209,20723.71,202,429472256,0,0,1.01,-0.03,-0.04,-1.9,1.06,1.12,-2.22,-85.44,-6.82,-6.43,-1.6,-6.63,-9.59,Standing
40:24.3,506,610,915,1000,349,1.93,517.8,1.71,20724.08,349,210,20723.71,202,429472256,4294945860,210,1.03,-0.06,-0.02,-2.52,5.57,2.52,-3.65,-85.11,-7.02,-6.07,-1.26,-6.89,-9.23,Standing
40:24.4,204,602,903,1000,348,1.94,515.56,1.7,20724.08,349,205,20723.71,202,429472256,4294922349,415,1.04,-0.05,-0.02,-2.44,1.53,-2.67,-3.3,-85.43,-7.21,-6.11,-1.45,-7.06,-9.29,Standing
40:24.5,200,595,892.5,1000,349,1.93,517.8,1.71,20724.08,349,209,20723.71,202,429472256,4294900494,624,1.01,-0.04,-0.02,-1.72,-0.81,-3.1,-2.83,-85.88,-7.33,-6.4,-1.69,-7.15,-9.58,Standing
40:24.6,327,590,885,1000,349,1.93,517.8,1.71,20724.08,349,209,20723.71,202,429472256,4294878639,833,1.01,-0.04,-0.03,-0.97,0.26,-0.1,-2.88,-85.57,-7.37,-6.58,-1.62,-7.19,-9.74,Standing
40:24.7,315,585,877.5,1000,348,1.94,515.56,1.7,20724.08,349,212,20723.71,202,429472256,4294858047,1045,1.03,-0.05,-0.03,-2,-0.15,0.23,-3.49,-84.92,-7.52,-6.8,-1.51,-7.36,-9.92,Standing
40:24.8,368,581,871.5,1000,348,1.94,515.56,1.7,20724.08,349,211,20723.71,202,429472256,4294837032,1256,1.03,-0.05,-0.04,-2.06,1.16,-3.82,-3.47,-84.71,-7.67,-6.88,-1.82,-7.5,-10,Standing
40:24.9,630,581,871.5,1000,349,1.93,517.8,1.71,20724.08,349,211,20723.71,202,429472256,4294816017,1467,1,-0.04,-0.03,-2.33,2.63,-3.06,-3.14,-85.44,-7.85,-6.82,-2.06,-7.66,-9.96,Standing
40:25.0,388,578,867,1000,349,1.93,517.8,1.71,20724.08,349,212,20723.71,202,429472256,4294795425,1679,1.02,-0.03,-0.02,-2.07,1,-0.75,-2.33,-86.33,-8.01,-6.92,-2.05,-7.78,-10.1,Standing
40:25.1,535,577,865.5,1000,349,1.93,517.8,1.71,20724.08,349,211,20723.71,202,429472256,4294774410,1890,1.02,-0.04,-0.02,-1.21,-0.77,0.05,-2.76,-85.97,-8.07,-7.2,-1.97,-7.86,-10.35,Standing
40:25.2,708,580,870,1000,350,1.92,520.06,1.71,20724.08,348,213,20723.79,210,429475424,0,0,1.03,-0.04,-0.03,-2.12,0.85,-1.11,-2.99,-85.42,-8.23,-7.32,-2,-8.02,-10.44,Standing
40:25.3,701,582,873,1000,348,1.94,515.56,1.7,20724.08,348,204,20723.79,210,429475424,4294943376,204,1.03,-0.05,-0.03,-2.17,1.15,-3.02,-3.1,-85.38,-8.4,-7.41,-2.23,-8.18,-10.53,Standing
40:25.4,740,584,876,1000,349,1.93,517.8,1.71,20724.08,348,202,20723.79,210,429475424,4294918644,406,1.01,-0.04,-0.04,-3.11,2.65,-3.41,-2.71,-85.49,-8.66,-7.34,-2.5,-8.42,-10.47,Standing
40:25.5,996,591,886.5,1000,350,1.92,520.06,1.71,20724.08,348,203,20723.79,210,429475424,4294894317,609,1,-0.02,-0.02,-2.8,4.04,-1.37,-1.75,-86.65,-8.89,-7.13,-2.56,-8.6,-10.31,Standing
40:25.6,691,592,888,1000,350,1.92,520.06,1.71,20724.08,348,203,20723.79,210,429475424,4294869990,812,1.01,-0.02,-0.01,-2.06,1.93,0.76,-1.96,-86.86,-9.04,-7.14,-2.4,-8.76,-10.33,Standing
40:25.7,526,591,886.5,1000,350,1.92,520.06,1.71,20724.08,348,204,20723.79,210,429475424,4294846070,1016,1.03,-0.04,-0.02,-1.52,-1.05,-0.37,-2.81,-85.97,-9.14,-7.45,-2.35,-8.88,-10.59,Standing
40:25.8,399,588,882,1000,350,1.92,520.06,1.71,20724.08,348,204,20723.79,210,429475424,4294822150,1220,1.03,-0.04,-0.03,-2.08,-0.98,-1.26,-3.09,-85.4,-9.29,-7.76,-2.4,-9.05,-10.86,Standing
40:25.9,986,594,891,1000,351,1.91,522.32,1.72,20724.08,348,207,20723.79,210,429475424,4294799463,1427,1.02,-0.04,-0.04,-2.59,1.81,-1.5,-3.05,-85.14,-9.5,-7.78,-2.48,-9.25,-10.87,Standing
40:26.0,946,600,900,1000,351,1.91,522.32,1.72,20724.08,348,208,20723.79,210,429475424,4294777191,1635,1.02,-0.03,-0.02,-2.48,3.34,-2.6,-2.38,-86.3,-9.7,-7.64,-2.66,-9.41,-10.78,Standing
40:26.1,995,605,907.5,1000,351,1.91,522.32,1.72,20724.08,348,213,20723.79,210,429475424,4294757024,1848,1.02,-0.04,-0.01,-2.19,-0.01,-2.37,-2.62,-86.25,-9.87,-7.84,-2.82,-9.58,-10.98,Standing
40:26.2,991,611,916.5,1000,351,1.91,522.32,1.72,20724.1,350,216,20723.75,206,429473824,0,0,1.01,-0.03,-0.02,-1.63,0.95,-0.85,-2.5,-86.11,-9.97,-7.95,-2.83,-9.68,-11.07,Standing
40:26.3,829,614,921,1000,350,1.92,520.06,1.71,20724.1,350,209,20723.75,206,429473824,4294945441,209,1.02,-0.03,-0.03,-2.02,0.25,-0.33,-2.25,-86.22,-10.13,-8.13,-2.78,-9.81,-11.25,Standing
40:26.4,778,616,924,1000,350,1.92,520.06,1.71,20724.1,350,208,20723.75,206,429473824,4294923169,417,1.03,-0.04,-0.02,-2.43,1.38,-1.56,-2.92,-85.76,-10.32,-8.19,-2.86,-10.02,-11.29,Standing
40:26.5,703,618,927,1000,351,1.91,522.32,1.72,20724.1,350,208,20723.75,206,429473824,4294900897,625,1.01,-0.03,-0.03,-1.69,1.43,-2.06,-2.38,-85.96,-10.43,-8.25,-2.99,-10.11,-11.36,Standing
40:26.6,646,618,927,1000,350,1.92,520.06,1.71,20724.1,350,205,20723.75,206,429473824,4294877386,830,1.01,-0.03,-0.02,-1.3,2.25,-1.14,-2.27,-86.27,-10.51,-8.22,-3.03,-10.18,-11.35,Standing
40:26.7,840,621,931.5,1000,351,1.91,522.32,1.72,20724.1,350,208,20723.75,206,429473824,4294855114,1038,1.01,-0.04,-0.02,-2.22,1.48,-0.9,-2.59,-86.18,-10.68,-8.28,-3.04,-10.35,-11.39,Standing
40:26.8,454,619,928.5,1000,351,1.91,522.32,1.72,20724.1,350,208,20723.75,206,429473824,4294832842,1246,1.03,-0.03,-0.02,-1.65,0.39,-1.08,-2.28,-86.48,-10.79,-8.44,-3.07,-10.45,-11.57,Standing
40:26.9,411,616,924,1000,351,1.91,522.32,1.72,20724.1,350,208,20723.75,206,429473824,4294810570,1454,1.01,-0.03,-0.03,-1.82,-0.1,-1.85,-2.44,-86.03,-10.92,-8.66,-3.18,-10.58,-11.75,Standing
40:27.0,477,614,921,1000,352,1.91,524.59,1.72,20724.1,350,209,20723.75,206,429473824,4294788715,1663,1.01,-0.02,-0.03,-1.83,0.98,-0.92,-1.96,-86.29,-11.05,-8.76,-3.19,-10.69,-11.87,Standing
40:27.1,491,613,919.5,1000,352,1.91,524.59,1.72,20724.1,350,208,20723.75,206,429473824,4294766443,1871,1.02,-0.03,-0.01,-1.73,2.69,-0.28,-2.26,-86.58,-11.17,-8.69,-3.14,-10.81,-11.81,Standing
40:27.2,458,611,916.5,1000,351,1.91,522.32,1.72,20724.11,350,208,20723.77,207,429474432,0,0,1.03,-0.03,-0.01,-2.05,1.61,-1.3,-2.38,-86.51,-11.32,-8.73,-3.19,-10.96,-11.84,Standing
40:27.3,374,608,912,1000,352,1.91,524.59,1.72,20724.11,350,208,20723.77,207,429474432,4294945024,208,1.02,-0.03,-0.02,-2.84,1.11,-0.18,-2.41,-86.38,-11.56,-8.82,-3.13,-11.19,-11.93,Standing
40:27.4,360,605,907.5,1000,352,1.91,524.59,1.72,20724.11,350,208,20723.77,207,429474432,4294922752,416,1.02,-0.04,-0.03,-1.92,-0.04,-1.55,-2.64,-85.8,-11.7,-9.03,-3.2,-11.33,-12.1,Standing
40:27.6,370,602,903,1000,352,1.91,524.59,1.72,20724.11,350,208,20723.77,207,429474432,4294900480,624,1.01,-0.03,-0.02,-2.21,0.44,-1.74,-2.5,-86.3,-11.87,-9.19,-3.3,-11.49,-12.28,Standing
40:39.8,542,542,813,542,352,1.91,524.59,1.72,0,0,206,0,0,0,4294921509,413,1.04,-0.04,0.01,-8.34,6.18,0.86,-2.78,-86.1,-2.37,-0.4,0.3,-2.39,-3.83,Left Fall while Standing
40:39.9,437,489,733.5,542,351,1.91,522.32,1.72,0,0,206,0,0,0,4294898409,619,1.03,-0.03,0.03,-2.95,2.21,-2.91,-2.32,-85.82,-2.61,-0.38,0.09,-2.6,-3.8,Left Fall while Standing
