Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
44:17.1,438,487,730.5,786,446,1.29,772.96,2.18,50.75,446,153,157.55,157,24821,46818,306,1.01,-0.05,0.04,-3.15,-9.92,9.18,-3.19,-84.87,-36.57,-16.69,-12.54,-35.23,-19.42,Standing
44:17.2,433,483,724.5,786,446,1.29,772.96,2.18,50.75,446,153,157.55,157,24821,70227,459,1.05,-0.06,0.09,-12.3,0.83,1.22,-3.67,-82.67,-37.74,-16.81,-12.34,-36.38,-19.44,Standing
44:17.3,469,482,723,786,447,1.29,776.04,2.18,50.75,446,870,157.55,157,24821,40695,1329,1.01,-0.06,0.02,-7.95,5.4,0.86,-3.91,-84.83,-38.49,-16.47,-12.18,-37.11,-19.2,Standing
44:17.4,1001,519,778.5,1001,448,1.28,779.13,2.19,50.75,446,857,157.55,157,24821,54248,2186,1.01,-0.07,0.08,-8.08,-3.49,1.42,-4.26,-82.5,-39.24,-17.02,-11.95,-37.84,-19.64,Standing
44:17.5,1001,551,826.5,1001,448,1.28,779.13,2.19,50.75,446,850,157.55,157,24821,55852,3036,1.03,-0.07,0.09,-10.1,15.19,-1.26,-4.44,-82.27,-40.2,-15.7,-12,-38.77,-18.36,Standing
44:17.6,1001,579,868.5,1001,449,1.28,782.23,2.19,50.75,446,818,157.55,157,24821,69616,3854,1,-0.08,0.07,-4.63,1.08,-1.37,-4.92,-82.49,-40.61,-15.79,-12.06,-39.18,-18.46,Standing
44:17.7,1001,604,906,1001,448,1.28,779.13,2.19,50.75,446,310,157.55,157,24821,100180,4164,1.02,-0.07,0.09,-0.63,-1.46,-0.4,-4.35,-82.22,-40.62,-16.14,-12.02,-39.17,-18.78,Standing
44:17.8,1001,626,939,1001,448,1.28,779.13,2.19,50.75,446,303,157.55,157,24821,126453,4467,1.01,-0.07,0.07,-0.61,4.3,-2.16,-4.83,-82.49,-40.62,-15.91,-12.16,-39.19,-18.57,Standing
44:17.9,973,644,966,1001,449,1.28,782.23,2.19,60.41,447,299,122.6,476,15030,0,0,1,-0.09,0.09,-3.82,1.44,-2.89,-5.75,-80.97,-40.95,-15.96,-12.37,-39.54,-18.56,Standing
44:18.0,696,647,970.5,1001,448,1.28,779.13,2.19,60.41,447,298,122.6,476,15030,23268,298,0.96,-0.06,0.12,1.2,-0.97,4.09,-4.33,-80.51,-40.77,-16.26,-11.88,-39.31,-18.83,Standing
44:18.1,528,641,961.5,1001,447,1.29,776.04,2.18,60.41,447,299,122.6,476,15030,47133,597,1,-0.07,0.07,-2.38,-1.45,-1.33,-4.81,-82.43,-40.95,-16.61,-11.94,-39.51,-19.24,Standing
44:18.2,419,631,946.5,1001,447,1.29,776.04,2.18,60.41,447,311,122.6,476,15030,78318,908,0.87,-0.07,0.16,-0.5,0.77,-4.02,-5.05,-77.13,-40.95,-16.73,-12.26,-39.51,-19.15,Standing
44:18.3,326,617,925.5,1001,447,1.29,776.04,2.18,60.41,447,773,122.6,476,15030,86023,1681,1,-0.07,0.08,6.19,-0.73,-2.79,-4.47,-82.34,-40.27,-17,-12.46,-38.84,-19.62,Standing
44:18.4,309,605,907.5,1001,447,1.29,776.04,2.18,60.41,447,788,122.6,476,15030,117143,2469,1.02,-0.07,0.04,-5.73,2.89,-8.12,-4.67,-83.84,-40.79,-16.91,-13.2,-39.35,-19.59,Standing
44:18.5,309,593,889.5,1001,448,1.28,779.13,2.19,60.41,447,784,122.6,476,15030,141975,3253,1.08,-0.06,0.01,-12.47,2.24,0.94,-3.67,-85.28,-42,-16.89,-13.03,-40.46,-19.62,Standing
44:18.6,213,578,867,1001,447,1.29,776.04,2.18,60.41,447,778,122.6,476,15030,157435,4031,1.06,-0.07,0.05,-2.89,1.55,0.41,-4.45,-83.69,-42.23,-16.93,-12.91,-40.72,-19.6,Standing
44:18.7,241,566,849,1001,447,1.29,776.04,2.18,60.41,447,777,122.6,476,15030,171340,4808,0.99,-0.06,0.04,-4.12,-1.06,-0.99,-4.31,-84.11,-42.59,-17.24,-12.93,-41.06,-19.92,Standing
44:18.8,242,554,831,1001,447,1.29,776.04,2.18,60.41,447,774,122.6,476,15030,180592,5582,1.03,-0.06,0.06,-3.59,1.35,-0.56,-3.81,-83.79,-42.9,-17.31,-12.9,-41.33,-19.97,Standing
44:18.9,255,544,816,1001,447,1.29,776.04,2.18,58.14,447,774,137.78,635,18983,0,0,1,-0.07,0.06,-1.89,0.08,-1.72,-4.73,-82.98,-43.03,-17.5,-12.99,-41.5,-20.12,Standing
44:19.0,286,535,802.5,1001,447,1.29,776.04,2.18,58.14,447,774,137.78,635,18983,9252,774,1.01,-0.07,0.06,-2.31,-0.09,0.48,-4.65,-83.28,-43.21,-17.71,-12.87,-41.66,-20.33,Standing
44:19.1,166,523,784.5,1001,447,1.29,776.04,2.18,58.14,447,777,137.78,635,18983,23157,1551,1.01,-0.07,0.05,-2.78,0.75,-1.26,-4.32,-83.57,-43.43,-17.84,-12.91,-41.86,-20.47,Standing
44:19.2,293,516,774,1001,447,1.29,776.04,2.18,58.14,447,778,137.78,635,18983,38617,2329,1.02,-0.07,0.05,-0.49,1.66,-2.03,-4.66,-83.38,-43.42,-17.87,-13.04,-41.87,-20.49,Standing
44:19.3,332,510,765,1001,447,1.29,776.04,2.18,58.14,447,777,137.78,635,18983,52522,3106,1,-0.07,0.07,-3.32,0.37,-2.68,-4.65,-82.59,-43.7,-18.03,-13.23,-42.14,-20.62,Standing
44:19.4,358,506,759,1001,448,1.28,779.13,2.19,58.14,447,775,137.78,635,18983,63323,3881,1.01,-0.06,0.07,-0.16,-0.12,-1.11,-4.04,-83.32,-43.66,-18.25,-13.26,-42.07,-20.85,Standing
44:19.5,374,502,753,1001,447,1.29,776.04,2.18,58.14,447,773,137.78,635,18983,71028,4654,1.01,-0.07,0.08,-0.71,3.16,0.11,-4.42,-82.64,-43.67,-18.13,-13.17,-42.1,-20.71,Standing
44:19.6,364,498,747,1001,447,1.29,776.04,2.18,58.14,447,776,137.78,635,18983,83380,5430,1,-0.07,0.07,-3.04,-0.23,-0.26,-4.6,-82.69,-43.92,-18.36,-13.12,-42.35,-20.93,Standing
44:19.7,379,495,742.5,1001,447,1.29,776.04,2.18,58.14,447,776,137.78,635,18983,95732,6206,1.01,-0.07,0.07,-0.85,1.07,-0.44,-4.44,-82.86,-43.95,-18.45,-13.08,-42.37,-21.03,Standing
44:19.8,426,493,739.5,1001,447,1.29,776.04,2.18,58.14,447,772,137.78,635,18983,101892,6978,1,-0.07,0.07,-1.58,1.98,-1.57,-4.48,-82.91,-44.06,-18.45,-13.16,-42.47,-21.03,Standing
44:19.9,475,493,739.5,1001,449,1.28,782.23,2.19,58.9,447,740,111.89,771,12519,0,0,1,-0.07,0.06,-2.94,0.23,0.17,-4.59,-83.15,-44.29,-18.63,-13.07,-42.71,-21.21,Standing
44:20.0,475,492,738,1001,447,1.29,776.04,2.18,58.9,447,507,111.89,771,12519,4294962201,507,1.01,-0.07,0.06,-3.56,-0.21,-0.56,-4.61,-83.3,-44.6,-18.85,-13.04,-43,-21.43,Standing
44:20.1,532,493,739.5,1001,448,1.28,779.13,2.19,58.9,447,312,111.89,771,12519,26713,819,1.01,-0.08,0.07,-3.67,0.71,-0.54,-5.25,-82.45,-44.91,-18.98,-13.02,-43.33,-21.52,Standing
44:20.2,550,495,742.5,1001,448,1.28,779.13,2.19,58.9,447,303,111.89,771,12519,52986,1122,1.01,-0.08,0.07,-1.97,2.4,0.06,-5.14,-82.47,-45.05,-18.94,-12.93,-43.46,-21.49,Standing
44:20.3,492,494,741,1001,448,1.28,779.13,2.19,58.9,447,299,111.89,771,12519,76851,1421,1.02,-0.08,0.07,1.09,0.86,0.62,-5.08,-82.49,-44.89,-19.06,-12.79,-43.3,-21.6,Standing
44:20.4,541,496,744,1001,447,1.29,776.04,2.18,58.9,447,298,111.89,771,12519,100119,1719,0.99,-0.08,0.07,-0.27,-0.12,-1.36,-5.3,-82.19,-44.86,-19.27,-12.85,-43.28,-21.79,Standing
44:20.5,558,497,745.5,1001,447,1.29,776.04,2.18,58.9,447,297,111.89,771,12519,122792,2016,1.02,-0.08,0.07,-1.99,1.7,-0.37,-4.9,-82.48,-45,-19.3,-12.81,-43.4,-21.83,Standing
44:20.6,567,498,747,1001,448,1.28,779.13,2.19,58.9,447,297,111.89,771,12519,145465,2313,1,-0.08,0.07,-1.89,1.72,-0.36,-5.32,-82.06,-45.14,-19.33,-12.76,-43.55,-21.84,Standing
44:20.7,573,500,750,1001,447,1.29,776.04,2.18,58.9,447,297,111.89,771,12519,168138,2610,1,-0.08,0.07,-2.21,1.37,-1.56,-5.3,-82.14,-45.3,-19.39,-12.84,-43.7,-21.9,Standing
44:20.8,496,500,750,1001,447,1.29,776.04,2.18,58.9,447,297,111.89,771,12519,190811,2907,1.01,-0.08,0.07,-2.06,1.36,-1.84,-5.38,-82.3,-45.46,-19.46,-12.95,-43.85,-21.97,Standing
44:20.9,528,500,750,1001,447,1.29,776.04,2.18,59.66,447,298,146.31,320,21406,0,0,1.02,-0.09,0.06,-2.4,1.01,-1.86,-5.61,-82.47,-45.64,-19.56,-13.05,-44.04,-22.07,Standing
44:21.0,551,501,751.5,1001,449,1.28,782.23,2.19,59.66,447,298,146.31,320,21406,23268,298,1.01,-0.08,0.07,-2.31,-0.12,-1.79,-5.01,-82.49,-45.81,-19.77,-13.15,-44.18,-22.28,Standing
