Datetime, ECGR , AvgECG , ampECG , MAX , GSRR , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGR , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gy , Combroll , Combpitch,Features
03:44.1,393,529,793.5,814,227,3.51,285.18,1.11,20723.86,217,177,162.94,162,26550,246721,1489,1.02,-0.08,0.07,-2.31,-0.82,2.97,-5.09,-82.33,-2.71,-4.4,-1.18,-2.81,-7.51,Standing
03:44.2,736,540,810,814,218,3.69,270.81,1.07,20723.88,218,138,163.02,162,26575,0,0,1.01,-0.09,0.08,-0.66,-0.98,-0.92,-5.74,-81.67,-2.72,-4.77,-1.2,-2.84,-7.84,Standing
03:44.3,758,551,826.5,814,209,3.89,256.76,1.02,20723.88,218,155,163.02,162,26575,24025,155,1.01,-0.1,0.06,-4.02,-1.21,0.89,-6.04,-82.12,-3.15,-5.16,-0.99,-3.27,-8.24,Standing
03:44.4,290,539,808.5,814,218,3.69,270.81,1.07,20723.88,218,162,163.02,162,26575,50269,317,1.01,-0.09,0.07,-2.59,4.06,-2.44,-5.43,-82.26,-3.41,-4.91,-1.19,-3.49,-8,Standing
03:44.6,409,533,799.5,814,229,3.47,288.41,1.12,20723.88,218,176,163.02,162,26575,81245,493,1,-0.09,0.1,-1.9,4.15,-2.17,-5.46,-80.91,-3.57,-4.64,-1.37,-3.65,-7.69,Standing
03:44.7,741,542,813,814,218,3.69,270.81,1.07,20723.88,218,149,163.02,162,26575,103446,642,1.01,-0.08,0.09,-2.98,1,1.71,-5.37,-81.53,-3.88,-4.76,-1.05,-3.94,-7.83,Standing
03:44.8,603,544,816,814,210,3.87,258.3,1.03,20723.88,218,154,163.02,162,26575,127162,796,1,-0.09,0.09,-0.18,0.84,-1.11,-5.86,-80.99,-3.83,-4.91,-1.09,-3.91,-7.95,Standing
03:44.9,269,533,799.5,814,221,3.63,275.56,1.08,20723.88,218,165,163.02,162,26575,154387,961,1,-0.09,0.08,0.18,1.28,1.07,-5.91,-81.56,-3.74,-5,-0.86,-3.82,-8.06,Standing
03:45.1,406,528,792,814,228,3.49,286.79,1.11,20723.88,218,176,163.02,162,26575,185363,1137,1.01,-0.1,0.07,-0.95,-0.15,-1.25,-6.46,-81.19,-3.79,-5.27,-0.92,-3.89,-8.3,Standing
03:45.2,807,539,808.5,814,215,3.76,266.09,1.05,20723.88,218,159,163.02,162,26575,210644,1296,0.99,-0.09,0.07,-3.03,1.28,-1.41,-5.88,-81.76,-4.1,-5.36,-1,-4.17,-8.41,Standing
