Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
01:37.0,484,357,535.5,730,264,2.88,347.83,1.29,32.16,258,206,20723.74,205,429473376,4294806424,1444,1,-0.16,0.04,-1.53,0.65,-0.97,-9.63,-79.14,-5.71,-1.12,-1.63,-5.86,-4.25,Standing
01:37.1,355,357,535.5,730,262,2.9,344.28,1.28,32.16,258,207,20723.74,205,429473376,4294783737,1651,1,-0.16,0.03,-1.35,-0.53,0.01,-9.84,-79.01,-5.79,-1.38,-1.55,-5.95,-4.49,Standing
01:37.2,486,362,543,730,261,2.92,342.52,1.28,32.16,258,205,20723.74,205,429473376,4294760226,1856,1.01,-0.16,0.04,-1.19,0.73,-0.31,-9.83,-78.96,-5.85,-1.51,-1.5,-6.01,-4.61,Standing
01:37.3,553,368,552,730,259,2.95,339.01,1.27,59.41,262,204,20723.75,206,429473632,0,0,1.01,-0.16,0.03,-2.53,0.86,-1.84,-9.54,-79.3,-6.05,-1.62,-1.61,-6.19,-4.73,Standing
01:37.4,532,374,561,730,257,2.98,335.51,1.26,59.41,262,204,20723.75,206,429473632,4294943376,204,1,-0.16,0.03,-2.52,2.02,-2.63,-9.49,-79.38,-6.24,-1.62,-1.8,-6.37,-4.73,Standing
01:37.5,539,379,568.5,730,255,3.01,332.03,1.25,59.41,262,204,20723.75,206,429473632,4294919456,408,0.99,-0.15,0.04,-1.72,2.04,-0.28,-9.31,-79.36,-6.36,-1.62,-1.74,-6.48,-4.73,Standing
01:37.6,584,385,577.5,730,253,3.04,328.57,1.24,59.41,262,203,20723.75,206,429473632,4294895129,611,1.02,-0.17,0.04,-2.06,-0.52,1.15,-9.98,-78.72,-6.51,-1.87,-1.55,-6.65,-4.95,Standing
01:37.7,512,389,583.5,730,251,3.08,325.13,1.23,59.41,262,203,20723.75,206,429473632,4294870802,814,1.01,-0.17,0.02,-1.77,0.15,-2.36,-10.02,-78.88,-6.64,-2.06,-1.7,-6.77,-5.13,Standing
01:37.8,472,392,588,730,250,3.09,323.42,1.22,59.41,262,204,20723.75,206,429473632,4294846882,1018,1,-0.16,0.03,-1.51,0.82,-2.11,-9.67,-79.18,-6.73,-2.18,-1.84,-6.85,-5.26,Standing
01:37.9,436,393,589.5,730,250,3.09,323.42,1.22,59.41,262,204,20723.75,206,429473632,4294822962,1222,1,-0.16,0.04,-2.66,2.66,-0.03,-9.74,-79.02,-6.95,-2.11,-1.76,-7.06,-5.19,Standing
