Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
25:50.1,760,677,1015.5,880,447,1.29,776.04,2.18,54.97,446,295,146.79,295,21547,172503,2361,1.01,0.1,0.07,-2.98,4.31,-0.13,5.23,-81.28,-2.31,-1.35,-0.16,-2.01,-4.54,Standing
25:50.2,866,688,1032,880,447,1.29,776.04,2.18,54.97,446,295,146.79,295,21547,193992,2656,1.01,0.1,0.1,-3.44,2.12,-1.75,5.25,-80.45,-2.6,-1.33,-0.26,-2.29,-4.5,Standing
25:50.3,816,694,1041,880,447,1.29,776.04,2.18,57.36,447,295,146.79,295,21547,0,0,1,0.1,0.09,-2.19,-0.92,-3.14,5.09,-80.96,-2.76,-1.62,-0.49,-2.45,-4.79,Standing
25:50.4,771,698,1047,880,447,1.29,776.04,2.18,57.36,447,295,146.79,295,21547,21489,295,0.99,0.1,0.09,-1.34,-1.11,-2.24,5.07,-80.75,-2.84,-1.93,-0.63,-2.52,-5.08,Standing
25:50.5,759,701,1051.5,880,448,1.28,779.13,2.19,57.36,447,295,146.79,295,21547,42978,590,1,0.1,0.06,-3.28,0.62,-0.92,5.16,-81.81,-3.11,-2.07,-0.64,-2.78,-5.26,Standing
25:50.6,873,709,1063.5,880,447,1.29,776.04,2.18,57.36,447,295,146.79,295,21547,64467,885,1.02,0.1,0.07,-3.78,1.19,-2.46,5.06,-81.59,-3.43,-2.15,-0.81,-3.09,-5.32,Standing
25:50.7,764,711,1066.5,880,447,1.29,776.04,2.18,57.36,447,295,146.79,295,21547,85956,1180,1.01,0.09,0.08,-2.62,0.3,-2.07,4.76,-81.26,-3.63,-2.32,-0.94,-3.3,-5.47,Standing
25:50.8,811,715,1072.5,880,447,1.29,776.04,2.18,57.36,447,296,146.79,295,21547,108036,1476,1,0.1,0.09,-1.15,-0.07,-0.71,5.17,-80.77,-3.69,-2.52,-0.93,-3.34,-5.65,Standing
25:50.9,862,721,1081.5,880,447,1.29,776.04,2.18,57.36,447,295,146.79,295,21547,129525,1771,1.01,0.11,0.05,-1.25,-2.44,-0.93,5.55,-81.68,-3.76,-2.97,-0.94,-3.39,-6.12,Standing
25:51.0,788,724,1086,880,447,1.29,776.04,2.18,57.36,447,296,146.79,295,21547,151605,2067,1,0.11,0.05,-1.2,1.05,-1.24,5.59,-81.53,-3.83,-3.06,-0.99,-3.45,-6.2,Standing
25:51.0,710,723,1084.5,880,447,1.29,776.04,2.18,57.36,447,296,146.79,295,21547,173685,2363,1,0.11,0.06,-2.53,1.89,-1.6,5.74,-81.11,-4.02,-3.07,-1.07,-3.63,-6.19,Standing
25:51.2,808,726,1089,880,447,1.29,776.04,2.18,57.36,447,296,146.79,295,21547,195765,2659,1,0.1,0.07,-2.57,2.33,-1.05,5.32,-81.16,-4.22,-3.04,-1.09,-3.84,-6.16,Standing
25:51.2,740,727,1090.5,880,447,1.29,776.04,2.18,57.36,447,298,148,295,21902,0,0,1.01,0.1,0.08,-3.97,1.11,-0.37,5.33,-80.89,-4.56,-3.13,-1.05,-4.16,-6.24,Standing
25:51.3,677,725,1087.5,880,447,1.29,776.04,2.18,57.36,447,298,148,295,21902,23268,298,1,0.11,0.06,-4.36,-2.61,-2,5.39,-81.44,-4.94,-3.59,-1.17,-4.52,-6.7,Standing
25:51.4,685,724,1086,880,447,1.29,776.04,2.18,57.36,447,298,148,295,21902,46536,596,0.99,0.11,0.07,-2.79,1.77,-0.73,5.64,-81.05,-5.16,-3.61,-1.17,-4.73,-6.71,Standing
25:51.5,678,722,1083,880,447,1.29,776.04,2.18,57.36,447,298,148,295,21902,69804,894,0.99,0.1,0.08,-3.17,1.74,-0.3,5.36,-81.07,-5.42,-3.64,-1.12,-4.98,-6.73,Standing
25:51.6,780,724,1086,880,447,1.29,776.04,2.18,57.36,447,301,148,295,21902,94869,1195,1,0.1,0.07,-3.53,-0.38,-0.08,5.04,-81.62,-5.71,-3.87,-1.05,-5.28,-6.98,Standing
25:51.7,766,725,1087.5,880,447,1.29,776.04,2.18,57.36,447,469,148,295,21902,118222,1664,1.03,0.1,0.07,-3.25,3.48,0.83,4.72,-81.75,-5.98,-3.73,-0.89,-5.55,-6.85,Standing
25:51.8,718,725,1087.5,880,447,1.29,776.04,2.18,57.36,447,742,148,295,21902,144498,2406,1.02,0.09,0.08,-2.57,2.02,-2.51,4.53,-81.46,-6.18,-3.72,-1.06,-5.75,-6.83,Standing
25:51.9,811,727,1090.5,880,447,1.29,776.04,2.18,57.36,447,780,148,295,21902,163074,3186,0.99,0.09,0.08,1.13,1.08,-2.57,4.84,-81.24,-6.01,-3.82,-1.24,-5.58,-6.91,Standing
25:52.0,767,728,1092,880,447,1.29,776.04,2.18,57.36,447,782,148,295,21902,184774,3968,0.99,0.1,0.06,1.59,-0.61,0.2,5.13,-81.63,-5.8,-4.08,-1.14,-5.36,-7.18,Standing
25:52.1,755,729,1093.5,880,447,1.29,776.04,2.18,57.36,447,781,148,295,21902,204911,4749,1.01,0.1,0.06,-2.52,2.9,1.63,5.09,-81.91,-5.99,-3.99,-0.9,-5.55,-7.1,Standing
25:52.2,848,732,1098,880,448,1.28,779.13,2.19,57.36,447,781,150.01,553,22503,0,0,1.02,0.09,0.1,-5.04,6.06,0.22,4.64,-80.86,-6.44,-3.58,-0.8,-5.99,-6.68,Standing
25:52.3,847,735,1102.5,880,448,1.28,779.13,2.19,57.36,447,778,150.01,553,22503,15460,778,1.02,0.09,0.1,-1.96,3.06,-1.95,4.58,-80.64,-6.58,-3.48,-0.92,-6.13,-6.57,Standing
25:52.4,806,737,1105.5,880,447,1.29,776.04,2.18,57.36,447,777,150.01,553,22503,29365,1555,0.99,0.09,0.11,1.38,0.5,-2.57,4.51,-80.4,-6.38,-3.63,-1.09,-5.95,-6.7,Standing
25:52.5,772,738,1107,880,447,1.29,776.04,2.18,57.36,447,776,150.01,553,22503,41717,2331,0.99,0.1,0.07,1.2,0.69,0.07,5.08,-81.47,-6.21,-3.76,-1.01,-5.76,-6.87,Standing
25:52.6,775,738,1107,880,447,1.29,776.04,2.18,57.36,447,775,150.01,553,22503,52518,3106,1.01,0.09,0.06,-0.98,2.52,0.59,4.6,-82.1,-6.25,-3.71,-0.87,-5.82,-6.84,Standing
25:52.7,699,738,1107,880,447,1.29,776.04,2.18,57.36,447,779,150.01,553,22503,69535,3885,1,0.09,0.08,-3.63,-0.1,0.18,4.6,-81.62,-6.55,-3.92,-0.78,-6.11,-7.02,Standing
25:52.8,733,737,1105.5,880,447,1.29,776.04,2.18,57.36,447,778,150.01,553,22503,84995,4663,1.01,0.1,0.1,-2.81,1.67,0.21,5.03,-80.42,-6.78,-3.95,-0.67,-6.31,-7.01,Standing
25:52.9,740,737,1105.5,880,447,1.29,776.04,2.18,57.36,447,780,150.01,553,22503,103571,5443,1.01,0.09,0.09,-0.5,0.59,-1.63,4.71,-80.96,-6.77,-4.09,-0.76,-6.31,-7.16,Standing
25:53.0,661,736,1104,880,447,1.29,776.04,2.18,57.36,447,774,150.01,553,22503,112823,6217,1,0.09,0.08,0.55,1.21,-2.65,4.56,-81.64,-6.66,-4.17,-0.94,-6.22,-7.27,Standing
25:53.1,787,737,1105.5,880,447,1.29,776.04,2.18,57.36,447,774,150.01,553,22503,122075,6991,0.99,0.09,0.07,-0.42,3.43,-0.24,4.48,-81.87,-6.65,-4.02,-0.89,-6.2,-7.14,Standing
25:53.2,661,735,1102.5,880,447,1.29,776.04,2.18,57.36,447,777,116.61,776,13597,0,0,1.01,0.09,0.07,-2.33,0.98,-0.74,4.61,-81.91,-6.82,-4.12,-0.88,-6.37,-7.24,Standing
