Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
18:15.3,443,443,664.5,443,427,1.4,716.44,2.09,0,0,147,0,0,0,43218,294,0.95,-0.04,0.31,-1.76,1.6,-0.66,-3.02,-69.94,-0.21,-0.09,0,-0.33,-2.88,Sitting
18:15.4,515,479,718.5,515,428,1.39,719.33,2.09,0,0,147,0,0,0,64827,441,0.95,-0.04,0.31,-1.92,1.34,-0.9,-3.13,-70.08,-0.32,-0.14,-0.01,-0.43,-2.94,Sitting
18:15.4,456,471,706.5,515,428,1.39,719.33,2.09,0,0,148,0,0,0,86731,589,0.96,-0.05,0.32,-1.99,1.04,-0.99,-3.58,-69.76,-0.42,-0.21,-0.02,-0.54,-2.99,Sitting
18:15.5,433,461,691.5,515,428,1.39,719.33,2.09,0,0,147,0,0,0,108340,736,0.95,-0.05,0.33,-1.4,0.85,-1.07,-3.44,-69.28,-0.48,-0.29,-0.04,-0.6,-3.05,Sitting
18:15.6,519,473,709.5,519,428,1.39,719.33,2.09,0,0,149,0,0,0,130541,885,0.94,-0.06,0.32,-2.25,1.4,-1.02,-3.76,-69.14,-0.61,-0.34,-0.06,-0.73,-3.09,Sitting
18:15.6,474,473,709.5,519,427,1.4,716.44,2.09,0,0,146,0,0,0,151857,1031,0.95,-0.04,0.32,-2.11,1.36,-1.24,-3.16,-69.62,-0.72,-0.38,-0.09,-0.82,-3.15,Sitting
18:15.7,459,471,706.5,519,428,1.39,719.33,2.09,0,0,147,0,0,0,173466,1178,0.95,-0.05,0.32,-1.94,1.01,-1.28,-3.66,-69.28,-0.82,-0.46,-0.13,-0.93,-3.21,Sitting
18:15.8,520,477,715.5,520,427,1.4,716.44,2.09,0,0,146,0,0,0,194782,1324,0.94,-0.05,0.32,-1.49,1.4,-1.09,-3.33,-69.44,-0.89,-0.5,-0.15,-0.99,-3.26,Sitting
18:15.9,511,481,721.5,520,428,1.39,719.33,2.09,20723.97,427,145,146.9,146,21579,0,0,0.94,-0.05,0.31,-1.94,0.83,-0.48,-3.24,-70.12,-0.99,-0.59,-0.13,-1.08,-3.37,Sitting
18:15.9,445,477,715.5,520,427,1.4,716.44,2.09,20723.97,427,146,146.9,146,21579,21316,146,0.95,-0.05,0.33,-2.08,0.75,-0.56,-3.35,-69.05,-1.11,-0.68,-0.11,-1.2,-3.42,Sitting
18:16.0,493,478,717,520,428,1.39,719.33,2.09,20723.97,427,147,146.9,146,21579,42925,293,0.94,-0.05,0.31,-1.79,1.37,-0.87,-3.22,-69.95,-1.2,-0.73,-0.12,-1.28,-3.5,Sitting
18:16.1,553,485,727.5,553,428,1.39,719.33,2.09,20723.97,427,146,146.9,146,21579,64241,439,0.95,-0.05,0.32,-2.32,0.97,-0.66,-3.22,-69.33,-1.33,-0.81,-0.11,-1.41,-3.55,Sitting
18:16.2,551,490,735,553,428,1.39,719.33,2.09,20723.97,427,148,146.9,146,21579,86145,587,0.95,-0.05,0.33,-1.7,1.27,-1.14,-3.69,-69.09,-1.42,-0.87,-0.13,-1.51,-3.59,Sitting
18:16.2,507,491,736.5,553,428,1.39,719.33,2.09,20723.97,427,146,146.9,146,21579,107461,733,0.94,-0.06,0.33,-1.49,0.72,-1.13,-3.85,-68.82,-1.49,-0.96,-0.16,-1.59,-3.68,Sitting
18:16.3,470,489,733.5,553,427,1.4,716.44,2.09,20723.97,427,150,146.9,146,21579,129961,883,0.94,-0.06,0.32,-2.91,1.08,-1.05,-3.87,-69.56,-1.67,-1.03,-0.18,-1.76,-3.77,Sitting
