Datetime, ECGR , AvgECG , ampECG , MAX , GSRR , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGR , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gy , Combroll , Combpitch,Features
00:56.1,531,531,796.5,531,302,2.39,418.86,1.48,0,0,130,0,0,0,34061,261,1.01,0.09,0.03,-3.73,3.31,-2.97,4.34,-83.17,-0.61,0.23,-0.42,-0.42,-3.11,Standing
00:56.2,676,603,904.5,676,302,2.39,418.86,1.48,0,0,130,0,0,0,50961,391,1.01,0.1,0.01,-2.96,-2.32,-0.78,4.84,-82.98,-0.91,-0.3,-0.42,-0.68,-3.61,Standing
00:56.3,822,676,1014,822,303,2.38,420.83,1.48,0,0,131,0,0,0,68122,522,1,0.09,0.01,-0.72,0.58,-1.06,4.7,-83.11,-0.93,-0.47,-0.45,-0.7,-3.78,Standing
00:56.4,689,679,1018.5,822,304,2.37,422.81,1.49,0,0,131,0,0,0,85283,653,1.01,0.09,0.02,-2.31,-1.23,0.18,4.48,-83.29,-1.14,-0.87,-0.34,-0.92,-4.17,Standing
00:56.6,449,633,949.5,822,305,2.35,424.79,1.49,0,0,130,0,0,0,102183,783,1.01,0.08,0.01,-2.72,0.8,-0.01,3.84,-83.98,-1.41,-1.02,-0.24,-1.2,-4.34,Standing
00:56.7,319,581,871.5,822,306,2.34,426.78,1.5,0,0,130,0,0,0,119083,913,1.01,0.09,0.02,-3.15,1.91,-2.69,4.25,-83.49,-1.72,-1.03,-0.47,-1.48,-4.33,Standing
00:56.8,241,532,798,822,307,2.33,428.77,1.5,0,0,130,0,0,0,135983,1043,1.01,0.09,0.02,-2.63,-0.18,-0.98,4.5,-83.17,-1.97,-1.3,-0.49,-1.72,-4.57,Standing
00:56.9,391,514,771,822,307,2.33,428.77,1.5,0,0,131,0,0,0,153144,1174,1.01,0.08,0.02,-0.66,0.22,0.44,3.98,-83.74,-1.99,-1.52,-0.34,-1.75,-4.81,Standing
00:57.0,628,527,790.5,822,307,2.33,428.77,1.5,164.89,304,132,130.6,130,17055,0,0,1.01,0.08,0,-1.06,0.16,-1.07,3.84,-84,-2.05,-1.74,-0.38,-1.81,-5.03,Standing
00:57.2,862,560,840,862,308,2.32,430.77,1.51,164.89,304,132,130.6,130,17055,17424,132,1.01,0.08,0,-2.66,1.89,-0.55,3.81,-84.03,-2.31,-1.76,-0.35,-2.06,-5.05,Standing
00:57.3,564,561,841.5,862,308,2.32,430.77,1.51,164.89,304,132,130.6,130,17055,34848,264,1.01,0.08,0.01,-2.59,3.22,-1.65,3.75,-84.01,-2.56,-1.6,-0.45,-2.31,-4.9,Standing
00:57.4,341,542,813,862,309,2.31,432.77,1.51,164.89,304,132,130.6,130,17055,52272,396,1.01,0.09,0.02,-1.98,-0.21,-2.14,4.61,-83.16,-2.74,-1.88,-0.62,-2.45,-5.13,Standing
00:57.5,783,561,841.5,862,309,2.31,432.77,1.51,164.89,304,131,130.6,130,17055,69433,527,1,0.09,-0.01,-1.42,-0.42,-0.78,4.74,-83.06,-2.85,-2.18,-0.62,-2.54,-5.42,Standing
00:57.7,783,577,865.5,862,309,2.31,432.77,1.51,164.89,304,132,130.6,130,17055,86857,659,1.01,0.08,0,-2.18,1.57,-0.83,4.06,-83.78,-3.05,-2.23,-0.62,-2.76,-5.5,Standing
00:57.8,597,578,867,862,310,2.3,434.78,1.52,164.89,304,132,130.6,130,17055,104281,791,0.98,0.09,0.04,-2.19,3.18,-2.18,4.46,-82.82,-3.25,-2.09,-0.8,-2.94,-5.32,Standing
00:57.9,296,560,840,862,311,2.29,436.8,1.52,164.89,304,133,130.6,130,17055,121970,924,1.02,0.09,0.02,-2.05,1.07,-0.89,4.48,-83.23,-3.44,-2.2,-0.81,-3.12,-5.44,Standing
00:58.0,375,549,823.5,862,311,2.29,436.8,1.52,164.89,304,132,130.6,130,17055,139394,1056,1,0.09,0,-2.63,0.11,-1.22,4.44,-83.4,-3.69,-2.43,-0.86,-3.37,-5.67,Standing
00:58.2,752,561,841.5,862,312,2.28,438.82,1.52,164.89,304,133,130.6,130,17055,157083,1189,1.01,0.08,0.01,-1.36,2.04,-2.55,4.13,-83.64,-3.79,-2.43,-1.08,-3.47,-5.68,Standing
00:58.3,768,571,856.5,862,313,2.27,440.85,1.53,174.83,310,133,132.2,132,17476,0,0,1,0.08,0.02,-1.04,-0.23,-1.57,4.21,-83.55,-3.85,-2.71,-1.18,-3.53,-5.94,Standing
00:58.4,296,558,837,862,313,2.27,440.85,1.53,174.83,310,132,132.2,132,17476,17424,132,1.01,0.08,0,-2.08,1.81,-1.2,4.11,-83.73,-4.04,-2.73,-1.23,-3.71,-5.97,Standing
00:58.5,348,548,822,862,313,2.27,440.85,1.53,174.83,310,132,132.2,132,17476,34848,264,1.01,0.08,0.01,-2.33,0.72,-2.24,4.13,-83.69,-4.26,-2.89,-1.41,-3.92,-6.12,Standing
00:58.7,602,550,825,862,313,2.27,440.85,1.53,174.83,310,133,132.2,132,17476,52537,397,0.99,0.1,0.02,-0.89,1.73,-1.02,4.89,-82.88,-4.3,-2.92,-1.44,-3.93,-6.12,Standing
00:58.8,664,555,832.5,862,313,2.27,440.85,1.53,174.83,310,133,132.2,132,17476,70226,530,1.02,0.09,0,-2.09,0.58,0.34,4.26,-83.57,-4.49,-3.1,-1.3,-4.14,-6.32,Standing
00:58.9,312,545,817.5,862,313,2.27,440.85,1.53,174.83,310,133,132.2,132,17476,87915,663,1.01,0.09,0.01,-2.6,1.26,-2.5,4.36,-83.46,-4.74,-3.19,-1.51,-4.38,-6.4,Standing
00:59.0,459,541,811.5,862,311,2.29,436.8,1.52,174.83,310,133,132.2,132,17476,105604,796,1,0.09,0.01,-2.11,0.45,-2.47,4.57,-83.26,-4.94,-3.39,-1.72,-4.56,-6.58,Standing
00:59.2,359,534,801,862,309,2.31,432.77,1.51,174.83,310,132,132.2,132,17476,123028,928,1.01,0.09,0,-2.11,1.28,-0.03,4.42,-83.41,-5.13,-3.47,-1.63,-4.75,-6.67,Standing
00:59.3,744,542,813,862,308,2.32,430.77,1.51,174.83,310,132,132.2,132,17476,140452,1060,1.01,0.08,0.01,-2.27,-0.25,-0.73,4.2,-83.6,-5.34,-3.76,-1.62,-4.96,-6.95,Standing
00:59.4,361,536,804,862,306,2.34,426.78,1.5,174.83,310,131,132.2,132,17476,157613,1191,1.02,0.09,0,-0.91,0.92,-2.01,4.62,-83.22,-5.39,-3.89,-1.77,-4.99,-7.06,Standing
00:59.5,165,523,784.5,862,305,2.35,424.79,1.49,175.56,310,132,132.3,132,17502,0,0,1.01,0.1,0,-2.65,0.84,-2.18,4.83,-83.01,-5.64,-4.03,-1.94,-5.22,-7.19,Standing
00:59.7,358,517,775.5,862,304,2.37,422.81,1.49,175.56,310,132,132.3,132,17502,17424,132,1,0.1,0,-3.19,2.2,-1.42,4.99,-82.85,-5.97,-4.01,-2.02,-5.53,-7.16,Standing
00:59.8,734,524,786,862,304,2.37,422.81,1.49,175.56,310,132,132.3,132,17502,34848,264,1.01,0.08,0.03,-3.29,1.48,-1.09,4.05,-83.57,-6.31,-4.07,-2.06,-5.89,-7.25,Standing
00:59.9,710,530,795,862,304,2.37,422.81,1.49,175.56,310,133,132.3,132,17502,52537,397,1.01,0.1,0.01,-1.74,-0.82,-0.95,4.91,-82.87,-6.46,-4.42,-2.08,-6,-7.56,Standing
01:00.0,347,525,787.5,862,304,2.37,422.81,1.49,175.56,310,133,132.3,132,17502,70226,530,1.01,0.09,0.01,-0.54,0.27,-0.83,4.41,-83.37,-6.45,-4.64,-2.08,-6.02,-7.79,Standing
01:00.1,368,520,780,862,304,2.37,422.81,1.49,175.56,310,133,132.3,132,17502,87915,663,1.02,0.09,0,-1.6,0.11,-0.5,4.42,-83.42,-6.58,-4.87,-2.05,-6.14,-8.02,Standing
01:00.3,686,525,787.5,862,304,2.37,422.81,1.49,175.56,310,133,132.3,132,17502,105604,796,1.01,0.08,0,-2.12,1.03,-1.84,4.2,-83.64,-6.78,-4.99,-2.18,-6.34,-8.14,Standing
