Datetime, ECGR , AvgECG , ampECG , MAX , GSRR , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGR , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gy , Combroll , Combpitch,Features
44:14.5,584,584,876,584,346,1.96,511.08,1.69,0,0,173,0,0,0,60205,347,0.97,-0.14,0.06,0.92,2.91,-0.4,-8.68,-79.6,0.24,0.18,-0.32,-0.12,-3.01,Standing
44:14.6,637,610,915,637,346,1.96,511.08,1.69,0,0,173,0,0,0,90134,520,0.99,-0.14,0.08,1.79,1.11,5.11,-8.61,-79.15,0.53,0.07,0.4,0.16,-3.1,Standing
44:14.8,680,633,949.5,680,346,1.96,511.08,1.69,0,0,173,0,0,0,120063,693,1,-0.15,0.06,0.38,3.65,2.97,-9.26,-79.09,0.64,0.27,0.85,0.25,-2.9,Standing
44:14.9,577,619,928.5,680,347,1.95,513.31,1.7,0,0,173,0,0,0,149992,866,1.01,-0.16,0.06,-2.08,1.34,0.77,-9.79,-78.62,0.46,0.19,1.04,0.05,-2.96,Standing
44:15.0,509,597,895.5,680,346,1.96,511.08,1.69,0,0,172,0,0,0,179576,1038,1.02,-0.17,0.07,-3.31,1.56,-2.27,-9.74,-78.52,0.12,0.14,0.86,-0.27,-3.01,Standing
44:15.1,417,567,850.5,680,347,1.95,513.31,1.7,0,0,172,0,0,0,209160,1210,0.99,-0.15,0.07,-1.82,3.07,-5.48,-9.39,-78.73,-0.03,0.27,0.3,-0.41,-2.89,Standing
44:15.3,424,546,819,680,348,1.94,515.56,1.7,0,0,172,0,0,0,238744,1382,0.99,-0.14,0.07,-3.76,-1.39,-0.8,-8.72,-79.29,-0.42,-0.15,0.3,-0.76,-3.31,Standing
44:15.4,736,570,855,736,348,1.94,515.56,1.7,0,0,173,0,0,0,268673,1555,1,-0.14,0.07,-2.73,0.18,2.38,-8.82,-79.3,-0.69,-0.37,0.69,-1.02,-3.53,Standing
44:15.5,513,564,846,736,348,1.94,515.56,1.7,20724.04,346,174,172.9,172,29893,0,0,1.01,-0.16,0.07,-0.62,3.44,0.09,-9.45,-78.79,-0.7,-0.19,0.8,-1.05,-3.34,Standing
44:15.6,603,568,852,736,348,1.94,515.56,1.7,20724.04,346,172,172.9,172,29893,29584,172,1,-0.16,0.06,-1.11,0.45,-2.56,-9.6,-78.69,-0.77,-0.39,0.57,-1.12,-3.52,Standing
44:15.7,479,559,838.5,736,349,1.93,517.8,1.71,20724.04,346,170,172.9,172,29893,58484,342,1.01,-0.17,0.06,-3.26,-2.34,2.01,-10.17,-78.32,-1.1,-0.92,0.92,-1.47,-4.02,Standing
44:15.9,368,543,814.5,736,349,1.93,517.8,1.71,20724.04,346,170,172.9,172,29893,87384,512,1.01,-0.17,0.07,0.5,2.99,-1.79,-9.91,-78.3,-0.97,-0.8,0.8,-1.33,-3.9,Standing
44:16.0,485,539,808.5,736,349,1.93,517.8,1.71,20724.04,346,171,172.9,172,29893,116625,683,0.99,-0.16,0.08,2.6,5.13,-2.06,-9.83,-78.19,-0.57,-0.41,0.64,-0.94,-3.52,Standing
44:16.1,601,543,814.5,736,349,1.93,517.8,1.71,20724.04,346,174,172.9,172,29893,146901,857,0.98,-0.16,0.09,1.47,4.93,0.26,-9.92,-77.59,-0.32,-0.04,0.77,-0.7,-3.15,Standing
44:16.2,488,540,810,736,350,1.92,520.06,1.71,20724.04,346,170,172.9,172,29893,175801,1027,1,-0.16,0.09,0.22,0.18,1.79,-9.88,-77.67,-0.22,-0.27,1.09,-0.61,-3.37,Standing
44:16.4,387,530,795,736,350,1.92,520.06,1.71,20724.04,346,173,172.9,172,29893,205730,1200,1.01,-0.18,0.09,-0.05,-0.48,0.27,-10.47,-77.31,-0.16,-0.58,1.22,-0.57,-3.65,Standing
44:16.5,489,528,792,736,351,1.91,522.32,1.72,20724.04,346,174,172.9,172,29893,236006,1374,0.99,-0.16,0.07,-1.49,1.42,-3.43,-9.99,-78.18,-0.27,-0.65,0.9,-0.66,-3.75,Standing
44:16.6,594,531,796.5,736,351,1.91,522.32,1.72,20724.04,346,174,172.9,172,29893,266282,1548,1,-0.16,0.07,-1.76,1.49,2.31,-9.5,-78.69,-0.42,-0.72,1.29,-0.79,-3.84,Standing
