Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
38:17.8,609,609,913.5,609,421,1.43,699.34,2.06,0,0,155,0,0,0,48361,311,0.96,0,0.31,-1.79,0.85,-1.08,-0.34,-70.54,-0.2,0,0.09,-0.21,-2.82,Standing
38:17.9,535,572,858,609,422,1.42,702.16,2.06,0,0,155,0,0,0,72386,466,0.96,0.01,0.29,-1.31,-1.15,-0.65,-0.05,-71.42,-0.27,-0.3,0.1,-0.26,-3.15,Standing
38:18.0,550,564,846,609,421,1.43,699.34,2.06,0,0,154,0,0,0,96102,620,0.95,0,0.3,-1.49,-2.6,-1.47,-0.48,-71.11,-0.36,-0.75,0.03,-0.37,-3.56,Standing
38:18.1,551,561,841.5,609,421,1.43,699.34,2.06,0,0,154,0,0,0,119818,774,0.95,0,0.29,-0.15,2.47,-1.64,-0.31,-71.2,-0.32,-0.7,-0.05,-0.32,-3.52,Standing
38:18.2,521,553,829.5,609,421,1.43,699.34,2.06,0,0,154,0,0,0,143534,928,0.94,0.01,0.29,-1.7,0.99,0.64,-0.13,-71.42,-0.44,-0.8,0.09,-0.42,-3.63,Standing
38:18.3,520,547,820.5,609,422,1.42,702.16,2.06,0,0,154,0,0,0,167250,1082,0.96,0,0.3,-1.66,0.5,1.08,-0.5,-71.2,-0.54,-0.95,0.27,-0.54,-3.76,Standing
38:18.3,559,549,823.5,609,421,1.43,699.34,2.06,0,0,154,0,0,0,190966,1236,0.96,0,0.3,0.27,1.95,-1.02,-0.69,-71.11,-0.46,-0.95,0.25,-0.47,-3.76,Standing
38:18.4,614,557,835.5,614,421,1.43,699.34,2.06,0,0,154,0,0,0,214682,1390,0.96,-0.01,0.28,-0.89,-1.05,-1.43,-1.1,-71.99,-0.49,-1.25,0.19,-0.52,-4.08,Standing
38:18.5,537,555,832.5,614,421,1.43,699.34,2.06,20723.84,421,156,154.6,154,23900,0,0,0.96,0.02,0.28,-2.77,0.1,-1.22,0.4,-72.09,-0.71,-1.44,0.15,-0.67,-4.27,Standing
38:18.6,563,555,832.5,614,421,1.43,699.34,2.06,20723.84,421,156,154.6,154,23900,24336,156,0.96,0,0.29,-2.23,4.02,-2.53,-0.52,-71.5,-0.88,-1.24,-0.03,-0.86,-4.05,Standing
