Datetime, ECGR , AvgECG , ampECG , MAX , GSRR , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGR , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gy , Combroll , Combpitch,Features
27:57.1,581,579,868.5,997,210,3.87,258.3,1.03,20723.79,210,265,99.33,273,9865,27463,1327,1.02,-0.02,-0.01,-2.18,1.13,-0.26,-1.73,-87.23,-2.12,-2.27,-0.5,-2.1,-5.66,Standing
27:57.2,755,591,886.5,997,200,4.11,243.01,0.98,20723.79,210,289,99.33,273,9865,45448,1616,1.02,-0.02,0,-3.2,0.27,-1.46,-1.94,-87.04,-2.45,-2.48,-0.58,-2.43,-5.86,Standing
27:57.4,382,577,865.5,997,204,4.01,249.08,1,20723.79,210,254,99.33,273,9865,44428,1870,1.02,-0.02,-0.01,-2.35,2.89,-2.16,-1.6,-87.35,-2.67,-2.37,-0.75,-2.63,-5.77,Standing
27:57.5,334,563,844.5,997,215,3.76,266.09,1.05,20723.79,210,288,99.33,273,9865,61836,2158,1.01,-0.02,0,-2.1,0.92,0.18,-1.46,-87.53,-2.86,-2.51,-0.63,-2.81,-5.91,Standing
27:57.6,491,559,838.5,997,213,3.8,262.96,1.04,20723.79,210,292,99.33,273,9865,81564,2450,1.02,-0.02,0,-1.93,0.31,-0.66,-1.78,-87.21,-3.04,-2.72,-0.61,-2.99,-6.1,Standing
27:57.7,760,570,855,997,203,4.04,247.56,0.99,20723.76,207,290,100.06,274,10011,0,0,1.02,-0.02,0,-1.99,0.64,-1.47,-1.6,-87.39,-3.21,-2.89,-0.7,-3.15,-6.27,Standing
27:57.9,590,571,856.5,997,198,4.17,240,0.97,20723.76,207,225,100.06,274,10011,4294952385,225,1.01,-0.02,0,-1.53,2.29,-1.27,-1.66,-87.34,-3.34,-2.85,-0.76,-3.27,-6.23,Standing
27:58.0,303,558,837,997,212,3.83,261.41,1.04,20723.76,207,293,100.06,274,10011,5402,518,1.02,-0.02,0.01,-1.79,1.34,-1.69,-1.77,-87.17,-3.49,-2.93,-0.87,-3.42,-6.3,Standing
27:58.1,1001,578,867,1001,216,3.74,267.66,1.06,20723.76,207,291,100.06,274,10011,24547,809,1.01,-0.02,0.01,-1.06,0.48,-1.11,-1.56,-87.22,-3.55,-3.12,-0.91,-3.47,-6.49,Standing
27:58.2,741,585,877.5,1001,205,3.99,250.61,1,20723.76,207,291,100.06,274,10011,43692,1100,1.02,-0.02,0,-1.89,0.13,-0.84,-1.53,-87.47,-3.72,-3.36,-0.92,-3.63,-6.72,Standing
